"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"GOW","GOWING BROS LIMITED","1962-07-31","Diversified Financials",155088801
"GOZ","GROWTHPOINT PROPERTIES AUSTRALIA","2007-07-04","Real Estate",2985927633
"GPR","GEOPACIFIC RESOURCES LTD","2006-05-09","Materials","N/A"
"GPS","GPS ALLIANCE HOLDINGS LIMITED","2013-07-02","Real Estate","N/A"
"GPT","GPT GROUP","1971-04-01","Real Estate",9098992793
"GQG","GQG PARTNERS INC.","2021-10-26","Diversified Financials",4724488694
"GRE","GREENTECH METALS LIMITED","2022-01-04","Materials",7280000
"GRL","GODOLPHIN RESOURCES LIMITED","2019-12-18","Materials",9673863
"GRR","GRANGE RESOURCES LIMITED.","1986-03-27","Materials",1805448369
"GRV","GREENVALE MINING LTD","1971-07-28","Energy",67480620
"GRX","GREENX METALS LIMITED","1993-09-06","Materials",48187888
"GSM","GOLDEN STATE MINING LIMITED","2018-11-08","Materials",6747952
"GSN","GREAT SOUTHERN MINING LIMITED","2011-04-14","Materials",21294683
"GSR","GREENSTONE RESOURCES LIMITED","2000-12-12","Materials",0
"GSS","GENETIC SIGNATURES LIMITED","2015-03-31","Pharmaceuticals, Biotechnology & Life Sciences",172063195
"GT1","GREEN TECHNOLOGY METALS LIMITED","2021-11-10","Materials",220192444
"GTE","GREAT WESTERN EXPLORATION LIMITED.","2007-06-05","Materials",13619769
"GTG","GENETIC TECHNOLOGIES LIMITED","1987-07-30","Pharmaceuticals, Biotechnology & Life Sciences",27701895
"GTI","GRATIFII LIMITED","2008-07-17","Software & Services",17384738
"GTK","GENTRACK GROUP LIMITED","2014-06-25","Software & Services",149714844
"GTN","GTN LIMITED","2016-06-01","Media & Entertainment",107639521
"GTR","GTI RESOURCES LIMITED","2007-08-10","Materials",21915814
"GUD","G.U.D. HOLDINGS LIMITED","1962-06-30","Automobiles & Components",1579429542
"GUL","GULLEWA LIMITED","1980-06-19","Materials",14087609
"GVF","GLOBAL VALUE FUND LIMITED","2014-07-21","Not Applic",196887470
"GW1","GREENWING RESOURCES LTD","2005-10-20","Materials",37590441
"GWA","GWA GROUP LIMITED.","1993-05-20","Capital Goods",546322533
"GWR","GWR GROUP LIMITED","2004-12-24","Materials",38545999
"HAL","HALO TECHNOLOGIES HOLDINGS LTD","2022-04-26","Diversified Financials",72523152
"HAR","HARANGA RESOURCES LIMITED.","2022-01-27","Materials",9619246
"HAS","HASTINGS TECHNOLOGY METALS LTD","2008-02-20","Materials",507236315
"HAV","HAVILAH RESOURCES LIMITED","2002-03-21","Materials",85196858
"HAW","HAWTHORN RESOURCES LIMITED","1986-07-03","Materials",38354295
"HCD","HYDROCARBON DYNAMICS LIMITED","2006-04-21","Energy",14089452
"HCH","HOT CHILI LIMITED","2010-05-03","Materials",140465103
"HCT","HOLISTA COLLTECH LIMITED","2004-02-26","Household & Personal Products",7985124
"HCW","HEALTHCO HEALTHCARE AND WELLNESS REIT","2021-09-06","Real Estate",536874084
"HDN","HOMECO DAILY NEEDS REIT","2020-11-23","Real Estate",2698370279
"HE8","HELIOS ENERGY LTD","2010-10-20","Energy",257800895
"HFR","HIGHFIELD RESOURCES LIMITED","2012-02-07","Materials",327986898
"HFY","HUBIFY LIMITED","2017-01-12","Telecommunication Services",22115744
"HGH","HEARTLAND GROUP HOLDINGS LIMITED","2018-11-01","Banks",1179878602
"HGL","HUDSON INVESTMENT GROUP LIMITED","1994-06-09","Real Estate",19588779
"HGO","HILLGROVE RESOURCES LIMITED","1994-07-22","Materials",85723101
"HGV","HYGROVEST LIMITED","2015-01-22","Not Applic",14487101
"HHI","HEALTH HOUSE INTERNATIONAL LIMITED","2011-07-28","Health Care Equipment & Services",2673369
"HHR","HARTSHEAD RESOURCES NL","2012-02-14","Energy",37095443
"HHY","HHY FUND","2005-04-11","Not Applic","N/A"
"HIL","HILLS LIMITED","1962-06-30","Technology Hardware & Equipment",20182741
"HIO","HAWSONS IRON LTD","2007-11-14","Materials",408150182
"HIQ","HITIQ LIMITED","2021-06-16","Health Care Equipment & Services",6753370
"HIT","HITECH GROUP AUSTRALIA LIMITED","2000-04-17","Commercial & Professional Services",81689500
"HLA","HEALTHIA LIMITED","2018-09-11","Health Care Equipment & Services",202098539
"HLF","HALO FOOD CO. LIMITED",,,23244645
"HLO","HELLOWORLD TRAVEL LIMITED","2000-09-13","Consumer Services",351913208
"HLS","HEALIUS LIMITED","1998-07-03","Health Care Equipment & Services",2448599830
"HLX","HELIX RESOURCES LIMITED","1986-05-22","Materials",24393031
"HM1","HEARTS AND MINDS INVESTMENTS LIMITED","2018-11-14","Not Applic",505828885
"HMC","HOME CONSORTIUM LIMITED","2019-10-14","Real Estate",1605951440
"HMD","HERAMED LIMITED","2018-12-12","Health Care Equipment & Services",29664295
"HMG","HAMELIN GOLD LIMITED","2021-11-05","Materials",14850000
"HMI","HIREMII LIMITED","2021-05-11","Commercial & Professional Services",6191570
"HMX","HAMMER METALS LIMITED","2003-02-25","Materials",43194715
"HMY","HARMONEY CORP LIMITED","2020-11-19","Diversified Financials",111120860
"HNG","HANCOCK & GORE LTD","1971-08-24","Capital Goods",62821451
"HNR","HANNANS LTD","2003-12-05","Materials",59944244
"HOR","HORSESHOE METALS LIMITED","2010-07-29","Materials",15819294
"HPC","THE HYDRATION PHARMACEUTICALS COMPANY LIMITED","2021-12-14","Household & Personal Products",40551879
"HPG","HIPAGES GROUP HOLDINGS LTD","2020-11-12","Media & Entertainment",157650653
"HPI","HOTEL PROPERTY INVESTMENTS","2013-12-10","Real Estate",692740486
"HPP","HEALTH AND PLANT PROTEIN GROUP LIMITED","1989-12-14","Food, Beverage & Tobacco",11790791
"HPR","HIGH PEAK ROYALTIES LIMITED","2007-03-30","Energy",11492602
"HRL","HRL HOLDINGS LTD","2007-11-14","Commercial & Professional Services",44494318
"HRN","HORIZON GOLD LIMITED","2016-12-21","Materials",38409126
"HRNN","HORIZON GOLD LIMITED","2016-12-21","Materials",38409126
"HRR","HERON RESOURCES LIMITED","1996-08-07","Materials","N/A"
"HRZ","HORIZON MINERALS LIMITED","1992-02-06","Materials",73836776
"HSC","HSC TECHNOLOGY GROUP LTD","2006-06-02","Software & Services",22250133
"HSN","HANSEN TECHNOLOGIES LIMITED","2000-06-01","Software & Services",1014072749
"HT1","HT&E LIMITED","1992-05-07","Media & Entertainment",458857442
"HT8","HARRIS TECHNOLOGY GROUP LIMITED","1999-06-24","Retailing",9843751
"HTA","HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED","1999-08-17","Telecommunication Services",1045083160
"HTG","HARVEST TECHNOLOGY GROUP LTD","2016-05-12","Technology Hardware & Equipment",70671185
"HUB","HUB24 LIMITED","2007-07-05","Diversified Financials",1871760202
"HUM","HUMM GROUP LIMITED","2006-12-12","Diversified Financials",361545872
"HVM","HAPPY VALLEY NUTRITION LIMITED","2020-01-23","Food, Beverage & Tobacco",10626477
"HVN","HARVEY NORMAN HOLDINGS LIMITED","1987-09-03","Retailing",5370288679
"HVY","HEAVY MINERALS LIMITED","2021-09-14","Materials",10774713
"HXG","HEXAGON ENERGY MATERIALS LIMITED","2008-10-30","Materials",13848729
"HXL","HEXIMA LIMITED.","2020-12-01","Pharmaceuticals, Biotechnology & Life Sciences",50111889
"HYD","HYDRIX LIMITED","2001-05-11","Technology Hardware & Equipment",16601429
"HZN","HORIZON OIL LIMITED","1981-06-30","Energy",244736159
"HZR","HAZER GROUP LIMITED","2015-12-02","Materials",122987381
"IAG","INSURANCE AUSTRALIA GROUP LIMITED","2000-08-08","Insurance",11018997921
"IAM","INCOME ASSET MANAGEMENT GROUP LIMITED.","1987-01-14","Diversified Financials",49719748
"IAP","IRONGATE GROUP","2019-05-28","Real Estate",1270443289
"IBC","IRONBARK CAPITAL LIMITED","1987-04-02","Not Applic",56178741
"IBG","IRONBARK ZINC LTD","2006-08-16","Materials",47055687
"IBX","IMAGION BIOSYSTEMS LIMITED","2017-06-22","Health Care Equipment & Services",45969960
"ICE","ICETANA LIMITED","2019-12-23","Software & Services",5806863
"ICG","INCA MINERALS LIMITED","2008-06-19","Materials",39006354
"ICI","ICANDY INTERACTIVE LIMITED","2016-02-04","Media & Entertainment",93740603
"ICL","ICENI GOLD LIMITED","2021-04-14","Materials",25028571
"ICN","ICON ENERGY LIMITED","1997-09-22","Energy",15850065
"ICR","INTELICARE HOLDINGS LIMITED","2020-05-25","Health Care Equipment & Services",8429648
"ICS","ICSGLOBAL LIMITED","1999-12-23","Health Care Equipment & Services","N/A"
"ICT","ICOLLEGE LIMITED","2009-08-24","Consumer Services",119102800
"ID8","IDENTITII LIMITED","2018-10-17","Software & Services",11423966
"IDA","INDIANA RESOURCES LIMITED","1986-07-17","Materials",25057817
"IDT","IDT AUSTRALIA LIMITED","1991-02-18","Pharmaceuticals, Biotechnology & Life Sciences",36153270
"IDX","INTEGRAL DIAGNOSTICS LIMITED","2015-10-21","Health Care Equipment & Services",817782745
"IEC","INTRA ENERGY CORPORATION LIMITED","2007-07-04","Energy",7615148
"IEL","IDP EDUCATION LIMITED","2015-11-26","Consumer Services",6312665265
"IEQ","INTERNATIONAL EQUITIES CORPORATION LIMITED.","1993-03-11","Real Estate",4487825
"IFL","INSIGNIA FINANCIAL LTD","2003-12-05","Diversified Financials",2079276648
"IFM","INFOMEDIA LTD","2000-08-16","Software & Services",606856181
"IFT","INFRATIL LIMITED.","2010-08-30","Utilities",5330031656
"IG6","INTERNATIONAL GRAPHITE LIMITED","2022-04-07","Capital Goods",48721707
"IGL","IVE GROUP LIMITED","2015-12-16","Media & Entertainment",245400301
"IGN","IGNITE LIMITED","1997-01-16","Commercial & Professional Services",11645683
"IGO","IGO LIMITED","2002-01-17","Materials",9064495722
"IHL","INCANNEX HEALTHCARE LIMITED","2007-05-23","Pharmaceuticals, Biotechnology & Life Sciences",524390952
"IHR","INTELLIHR LIMITED","2018-01-23","Software & Services",30522682
"IIQ","INOVIQ LTD","1991-04-18","Health Care Equipment & Services",49230006
"IKE","IKEGPS GROUP LIMITED","2016-11-21","Technology Hardware & Equipment",106840674
"IKW","IKWEZI MINING LIMITED","2011-07-19","Energy",71137455
"ILA","ISLAND PHARMACEUTICALS LIMITED","2021-04-13","Pharmaceuticals, Biotechnology & Life Sciences",15847351
"ILT","ILTANI RESOURCES LIMITED",,"Class Pend",0
"ILU","ILUKA RESOURCES LIMITED","1962-06-30","Materials",4530845254
"IMA","IMAGE RESOURCES NL","2002-07-04","Materials",230482843
"IMB","INTELLIGENT MONITORING GROUP LIMITED","1994-03-03","Commercial & Professional Services",9975625
"IMC","IMMURON LIMITED","1999-04-30","Pharmaceuticals, Biotechnology & Life Sciences",22779835
"IMD","IMDEX LIMITED","1987-09-24","Materials",951485760
"IME","IMEXHS LIMITED","2005-12-14","Health Care Equipment & Services",22838318
"IMI","INFINITY MINING LIMITED","2021-12-22","Materials",16865925
"IMM","IMMUTEP LIMITED","1988-06-23","Pharmaceuticals, Biotechnology & Life Sciences",337833528
"IMR","IMRICOR MEDICAL SYSTEMS INC.","2019-08-30","Health Care Equipment & Services",40838772
"IMS","IMPELUS LIMITED","2000-05-11","Media & Entertainment","N/A"
"IMU","IMUGENE LIMITED","1993-11-24","Pharmaceuticals, Biotechnology & Life Sciences",1111271568
"INA","INGENIA COMMUNITIES GROUP","2004-07-01","Real Estate",1634408889
"IND","INDUSTRIAL MINERALS LTD","2021-07-13","Materials",19860750
"INF","INFINITY LITHIUM CORPORATION LIMITED","2011-04-15","Materials",56026764
"ING","INGHAMS GROUP LIMITED","2016-11-07","Food, Beverage & Tobacco",1040702883
"INL","INNLANZ LIMITED","2019-02-22","Retailing",18795816
"INP","INCENTIAPAY LIMITED","2014-09-09","Retailing",18975954
"INR","IONEER LTD","2007-12-19","Materials",1108388693
"INV","INVESTSMART GROUP LIMITED","2005-04-21","Diversified Financials",36204359
"IOD","IODM LIMITED","2003-11-18","Software & Services",157027279
"IOU","IOUPAY LIMITED","2000-10-12","Media & Entertainment",44664377
"IPB","IPB PETROLEUM LIMITED","2013-04-30","Energy",5052823
"IPC","IMPERIAL PACIFIC LIMITED","1971-07-28","Diversified Financials",7120291
"IPD","IMPEDIMED LIMITED","2007-10-24","Health Care Equipment & Services",147564018
"IPG","IPD GROUP LTD","2021-12-17","Capital Goods",126840070
"IPH","IPH LIMITED","2014-11-19","Commercial & Professional Services",1689284471
"IPL","INCITEC PIVOT LIMITED","2003-07-28","Materials",7089121356
"IPT","IMPACT MINERALS LIMITED","2006-11-29","Materials",25190308
"IPTNA","IMPACT MINERALS LIMITED","2006-11-29","Materials",25190308
"IPX","IPERIONX LIMITED","2018-04-16","Materials",109425023
"IQ3","IQ3CORP LIMITED","2015-05-18","Diversified Financials","N/A"
"IR1","IRIS METALS LIMITED","2021-09-23","Materials",34463750
"IRD","IRON ROAD LIMITED","2008-06-12","Materials",139744728
"IRE","IRESS LIMITED","2000-11-03","Software & Services",1941952786
"IRI","INTEGRATED RESEARCH LIMITED","2000-12-13","Software & Services",98318760
"IRX","INHALERX LIMITED","2017-01-11","Health Care Equipment & Services",14319691
"IS3","I SYNERGY GROUP LIMITED","2017-03-30","Software & Services",20939991
"ISU","ISELECT LIMITED.","2013-06-24","Consumer Services",40814748
"ITM","ITECH MINERALS LTD","2021-10-21","Materials",42757084
"IVC","INVOCARE LIMITED","2003-12-04","Consumer Services",1573143204
"IVO","INVIGOR GROUP LIMITED","1999-12-03","Media & Entertainment",5361995
"IVR","INVESTIGATOR RESOURCES LTD","2007-04-03","Materials",71944937
"IVT","INVENTIS LIMITED","1999-04-14","Commercial & Professional Services",6276322
"IVX","INVION LIMITED","2010-02-15","Pharmaceuticals, Biotechnology & Life Sciences",76998164
"IVZ","INVICTUS ENERGY LTD","2012-01-19","Energy",138271985
"IXC","INVEX THERAPEUTICS LTD","2019-07-05","Pharmaceuticals, Biotechnology & Life Sciences",39080001
"IXR","IONIC RARE EARTHS LIMITED","1999-12-10","Materials",193630246
"IXU","IXUP LIMITED","2017-11-15","Software & Services",60439094
"JAL","JAMESON RESOURCES LIMITED","2007-12-18","Materials",26115248
"JAN","JANISON EDUCATION GROUP LIMITED","2000-09-12","Software & Services",160208031
"JAT","JATCORP LIMITED","2008-01-30","Retailing",29975422
"JAV","JAVELIN MINERALS LIMITED","2012-10-09","Materials",14031229
"JAY","JAYRIDE GROUP LIMITED","2018-01-29","Retailing",24693796
"JBH","JB HI-FI LIMITED","2003-10-23","Retailing",4951735999
"JCS","JCURVE SOLUTIONS LTD","2000-12-08","Software & Services",21013980
"JDO","JUDO CAPITAL HOLDINGS LIMITED","2021-11-01","Banks",2012046167
"JGH","JADE GAS HOLDINGS LIMITED","1995-02-13","Materials",70723324
"JHG","JANUS HENDERSON GROUP PLC","2008-10-27","Diversified Financials",7116709496
"JHX","JAMES HARDIE INDUSTRIES PLC","2001-10-15","Materials",15939038312
"JIN","JUMBO INTERACTIVE LIMITED","1972-06-14","Consumer Services",961456942
"JLG","JOHNS LYNG GROUP LIMITED","2017-10-26","Capital Goods",1446308513
"JMS","JUPITER MINES LIMITED.","2018-04-18","Materials",421183072
"JNO","JUNO MINERALS LIMITED","2021-05-14","Materials",15010380
"JPR","JUPITER ENERGY LIMITED","2003-11-12","Energy",4601331
"JRL","JINDALEE RESOURCES LIMITED","2002-07-11","Materials",189350588
"JRV","JERVOIS GLOBAL LIMITED","1980-12-01","Materials",1360177110
"JTL","JAYEX TECHNOLOGY LIMITED","2015-12-17","Health Care Equipment & Services",1744600
"JXT","JAXSTA LTD","2010-09-21","Software & Services",14045706
"JYC","JOYCE CORPORATION LTD","1986-12-17","Retailing",77738661
"K2F","K2FLY LIMITED","2008-02-19","Software & Services",34637901
"KAI","KAIROS MINERALS LIMITED","1973-05-30","Materials",54938618
"KAL","KALGOORLIE GOLD MINING LIMITED","2021-11-17","Materials",10156066
"KAM","K2 ASSET MANAGEMENT HOLDINGS LTD","2007-11-29","Diversified Financials",14465112
"KAR","KAROON ENERGY LTD","2004-06-08","Energy",1100858903
"KAT","KATANA CAPITAL LIMITED","2005-12-23","Not Applic",36798554
"KAU","KAISER REEF LIMITED","2020-02-28","Materials",29591360
"KBC","KEYBRIDGE CAPITAL LIMITED","1999-12-23","Diversified Financials",19155405
"KCC","KINCORA COPPER LIMITED","2021-03-30","Materials",12283218
"KCN","KINGSGATE CONSOLIDATED LIMITED.","1988-04-21","Materials",337513691
"KED","KEYPATH EDUCATION INTERNATIONAL INC.","2021-06-02","Consumer Services",318581351
"KEY","KEY PETROLEUM LIMITED","2007-04-26","Energy",4919820
"KFE","KOGI IRON LIMITED","1987-01-16","Materials",9261467
"KFM","KINGFISHER MINING LTD","2020-12-11","Materials",11407500
"KGD","KULA GOLD LIMITED","2010-11-16","Materials",7531147
"KGL","KGL RESOURCES LIMITED","2005-03-17","Materials",136667137
"KGM","KALNORTH GOLD MINES LIMITED","2005-01-20","Materials","N/A"
"KGN","KOGAN.COM LTD","2016-07-07","Retailing",384939371
"KIL","KILAND LTD","2002-07-08","Materials",86324605
"KIN","KIN MINING NL","2013-10-02","Materials",69290716
"KKC","KKR CREDIT INCOME FUND","2019-11-21","Not Applic",747400000
"KKO","KINETIKO ENERGY LTD","2011-07-21","Energy",50098363
"KKONB","KINETIKO ENERGY LTD","2011-07-21","Energy",50098363
"KLI","KILLI RESOURCES LIMITED","2022-02-10","Class Pend",13000000
"KLL","KALIUM LAKES LIMITED","2016-12-22","Materials",103990675
"KLO","KINGSLAND GLOBAL LTD","2015-12-11","Real Estate",9720000
"KLR","KAILI RESOURCES LIMITED","1997-03-06","Energy",2358406
"KLS","KELSIAN GROUP LIMITED","2013-10-16","Consumer Services",1622704927
"KMD","KMD BRANDS LIMITED","2009-11-13","Retailing",740906446
"KME","KIP MCGRATH EDUCATION CENTRES LIMITED","2003-08-15","Consumer Services",54541154
"KMT","KOPORE METALS LIMITED","2011-07-01","Materials",32580167
"KNB","KOONENBERRY GOLD LIMITED","2021-09-28","Materials",10777418
"KNG","KINGSLAND MINERALS LTD",,"Materials",0
"KNI","KUNIKO LIMITED","2021-08-24","Materials",58711432
"KNM","KNEOMEDIA LIMITED","1987-06-24","Media & Entertainment",37684575
"KNO","KNOSYS LIMITED","2015-09-09","Software & Services",18587928
"KOB","KOBA RESOURCES LIMITED","2022-05-04","Materials",12675000
"KOR","KORAB RESOURCES LIMITED","2005-08-31","Materials",11011500
"KOV","KORVEST LTD","1970-09-17","Capital Goods",87141638
"KP2","KORE POTASH PLC","2017-11-07","Materials",81011867
"KPG","KELLY PARTNERS GROUP HOLDINGS LIMITED","2017-06-21","Commercial & Professional Services",157500000
"KPO","KALINA POWER LIMITED","1971-08-02","Utilities",39306228
"KRM","KINGSROSE MINING LIMITED","2007-12-07","Materials",48914224
"KRR","KING RIVER RESOURCES LIMITED","2007-09-21","Materials",37284599
"KSC","K & S CORPORATION LIMITED","1971-08-25","Transportation",239990056
"KSL","KINA SECURITIES LIMITED","2015-07-30","Banks",249634233
"KSN","KINGSTON RESOURCES LIMITED","1987-03-05","Materials",53660027
"KSS","KLEOS SPACE S.A","2018-08-24","Commercial & Professional Services",98189232
"KTA","KRAKATOA RESOURCES LIMITED","2012-12-28","Materials",26542664
"KTG","K-TIG LIMITED","2012-11-01","Capital Goods",50711153
"KWR","KINGWEST RESOURCES LIMITED","2018-08-24","Materials",34016224
"KYK","KYCKR LIMITED","2016-09-07","Software & Services",31180791
"KZA","KAZIA THERAPEUTICS LIMITED","1994-09-01","Pharmaceuticals, Biotechnology & Life Sciences",109800104
"KZR","KALAMAZOO RESOURCES LIMITED","2017-01-16","Materials",51906989
"LAM","LARAMIDE RESOURCES LTD","2013-04-30","Energy",120970118
"LAN","LANYON INVESTMENT COMPANY LIMITED","2015-12-01","Not Applic","N/A"
"LAU","LINDSAY AUSTRALIA LIMITED","1994-07-05","Transportation",123650805
"LAW","LAWFINANCE LIMITED","2000-05-12","Diversified Financials",15920230
"LBL","LASERBOND LIMITED","2007-12-17","Capital Goods",84162239
"LBT","LBT INNOVATIONS LIMITED","2006-07-31","Health Care Equipment & Services",27191631
"LBY","LAYBUY GROUP HOLDINGS LIMITED","2020-09-07","Software & Services",18346982
"LCE","LONDON CITY EQUITIES LIMITED","1987-03-06","Diversified Financials",15325547
"LCL","LOS CERROS LIMITED","2007-10-02","Materials",38388282
"LCT","LIVING CELL TECHNOLOGIES LIMITED","2004-09-01","Pharmaceuticals, Biotechnology & Life Sciences",5141819
"LCY","LEGACY IRON ORE LIMITED","2008-07-08","Materials",153763829
"LDR","LODE RESOURCES LTD","2021-07-02","Materials",11595070
"LDX","LUMOS DIAGNOSTICS HOLDINGS LIMITED","2021-07-05","Health Care Equipment & Services",36186475
"LEG","LEGEND MINING LIMITED","1995-08-25","Materials",198369772
"LEL","LITHIUM ENERGY LIMITED","2021-05-19","Materials",104013000
"LER","LEAF RESOURCES LTD","1999-01-05","Materials","N/A"
"LEX","LEFROY EXPLORATION LIMITED","1991-09-05","Materials",39386160
"LFG","LIBERTY FINANCIAL GROUP","2020-12-15","Banks",1484604000
"LFS","LATITUDE GROUP HOLDINGS LIMITED","2021-04-20","Diversified Financials",1848461538
"LGL","LYNCH GROUP HOLDINGS LIMITED","2021-04-06","Food, Beverage & Tobacco",267324785
"LGM","LEGACY MINERALS HOLDINGS LIMITED","2021-09-13","Materials",10900448
"LGP","LITTLE GREEN PHARMA LTD","2020-02-20","Pharmaceuticals, Biotechnology & Life Sciences",93704041
"LHM","LAND & HOMES GROUP LIMITED","2004-10-05","Real Estate",14691450
"LIC","LIFESTYLE COMMUNITIES LIMITED","1998-12-15","Real Estate",1415541074
"LIN","LINDIAN RESOURCES LIMITED","2000-03-02","Materials",30935318
"LIO","LION ENERGY LIMITED","1972-02-15","Energy",15766078
"LIS","LI-S ENERGY LIMITED","2021-09-28","Capital Goods",400125144
"LIT","LITHIUM AUSTRALIA LIMITED","2007-10-30","Materials",90059374
"LKE","LAKE RESOURCES N.L.","2001-08-29","Materials",1942882718
"LKO","LAKES BLUE ENERGY NL","1985-12-05","Energy",45040352
"LKY","LOCKSLEY RESOURCES LIMITED","2021-07-08","Materials",7280000
"LLC","LENDLEASE GROUP","1962-06-30","Real Estate",7385082375
"LLL","LEO LITHIUM LIMITED",,"Class Pend",0
"LLO","LION ONE METALS LIMITED","2013-06-07","Materials",172053082
"LM8","LUNNON METALS LIMITED","2021-06-16","Materials",161359770
"LME","LIMEADE INC.","2019-12-20","Software & Services",71284060
"LMG","LATROBE MAGNESIUM LIMITED","1986-12-18","Materials",110654717
"LML","LINCOLN MINERALS LIMITED","2007-03-09","Materials","N/A"
"LNK","LINK ADMINISTRATION HOLDINGS LIMITED","2015-10-27","Software & Services",2308443665
"LNR","LANTHANEIN RESOURCES LTD","2003-04-09","Materials",20107814
"LNU","LINIUS TECHNOLOGIES LIMITED","2011-07-26","Software & Services",12736856
"LNY","LANEWAY RESOURCES LTD","1987-04-02","Materials",31510082
"LOM","LUCAPA DIAMOND COMPANY LIMITED","2006-12-19","Materials",71977446
"LOT","LOTUS RESOURCES LIMITED","2009-02-18","Materials",313379154
"LOV","LOVISA HOLDINGS LIMITED","2014-12-18","Retailing",1553866481
"LPD","LEPIDICO LTD","1994-04-19","Materials",182192085
"LPE","LOCALITY PLANNING ENERGY HOLDINGS LIMITED","2011-10-11","Utilities","N/A"
"LPI","LITHIUM POWER INTERNATIONAL LIMITED","2016-06-24","Materials",190283942
"LPM","LITHIUM PLUS MINERALS LTD.","2022-04-26","Materials",53350000
"LRD","LORD RESOURCES LIMITED","2022-04-07","Materials",12285479
"LRK","LARK DISTILLING CO. LTD","2003-11-12","Food, Beverage & Tobacco",183747560
"LRL","LABYRINTH RESOURCES LIMITED","1971-07-28","Materials",25764319
"LRS","LATIN RESOURCES LIMITED","2010-09-21","Materials",231458142
"LRT","LOWELL RESOURCES FUND","2018-03-22","Not Applic",47077240
"LRV","LARVOTTO RESOURCES LIMITED","2021-12-06","Materials",18420601
"LSA","LACHLAN STAR LIMITED","1971-07-28","Materials",23742229
"LSF","L1 LONG SHORT FUND LIMITED","2018-04-24","Not Applic",1754036194
"LSR","LODESTAR MINERALS LIMITED","2007-12-21","Materials",15645936
"LSX","LION SELECTION GROUP LIMITED.","2013-03-13","Not Applic",71317104
"LTR","LIONTOWN RESOURCES LIMITED","2006-12-27","Materials",2806048253
"LV1","LIVE VERDURE LTD","2020-12-14","Food, Beverage & Tobacco",11916530
"LVE","LOVE GROUP GLOBAL LTD","2014-12-05","Software & Services",3242734
"LVH","LIVEHIRE LIMITED","2016-06-10","Software & Services",89196781
"LVT","LIVETILES LIMITED","1999-08-17","Software & Services",57239721
"LYC","LYNAS RARE EARTHS LIMITED","1986-09-11","Materials",8455596261
"LYK","LYKOS METALS LIMITED","2021-10-21","Materials",31185001
"LYL","LYCOPODIUM LIMITED","2004-12-17","Capital Goods",238043954
"LYN","LYCAON RESOURCES LTD","2021-11-17","Materials",15180000
"M24","MAMBA EXPLORATION LIMITED","2021-02-05","Materials",6098334
"M2M","MT MALCOLM MINES NL","2021-09-10","Materials",6618456
"M2R","MIRAMAR RESOURCES LIMITED","2020-10-22","Materials",9150391
"M3M","M3 MINING LIMITED","2021-07-29","Materials",5169500
"M7T","MACH7 TECHNOLOGIES LIMITED","2005-11-30","Health Care Equipment & Services",145683889
"M8S","M8 SUSTAINABLE LIMITED","2019-12-11","Commercial & Professional Services",4772097
"MAD","MADER GROUP LIMITED","2019-10-01","Commercial & Professional Services",460000000
"MAF","MA FINANCIAL GROUP LIMITED","2017-04-10","Diversified Financials",1088231240
"MAG","MAGMATIC RESOURCES LIMITED","2017-05-19","Materials",17050615
"MAH","MACMAHON HOLDINGS LIMITED","1983-12-01","Materials",344797731
"MAM","MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED","2018-04-30","Diversified Financials",94867665
"MAN","MANDRAKE RESOURCES LIMITED","1987-05-29","Materials",23217831
"MAP","MICROBA LIFE SCIENCES LIMITED","2022-04-05","Health Care Equipment & Services",67217710
"MAQ","MACQUARIE TELECOM GROUP LIMITED","1999-09-27","Telecommunication Services",1215634664
"MAT","MATSA RESOURCES LIMITED","2005-04-20","Materials",19024595
"MAU","MAGNETIC RESOURCES NL","2007-04-05","Materials",312958233
"MAUCA","MAGNETIC RESOURCES NL","2007-04-05","Materials",312958233
"MAY","MELBANA ENERGY LIMITED","1998-03-27","Energy",264537048
"MBH","MAGGIE BEER HOLDINGS LTD","2004-08-27","Food, Beverage & Tobacco",131752470
"MBK","METAL BANK LIMITED","2011-03-02","Materials",13039091
"MBX","MY FOODIE BOX LIMITED","2022-01-07","Food & Staples Retailing",10049999
"MCA","MURRAY COD AUSTRALIA LIMITED","2011-03-30","Food, Beverage & Tobacco",164529478
"MCE","MATRIX COMPOSITES & ENGINEERING LIMITED","2009-11-16","Energy",22641071
"MCL","MIGHTY CRAFT LIMITED","2019-12-17","Food, Beverage & Tobacco",72134279
"MCM","MC MINING LIMITED","1980-04-24","Energy",27671682
"MCP","MCPHERSON'S LIMITED","1962-06-30","Household & Personal Products",104848202
"MCR","MINCOR RESOURCES NL","1997-06-16","Materials",1181855717
"MCT","METALICITY LIMITED","2005-12-21","Materials",13027988
"MCTN","METALICITY LIMITED","2005-12-21","Materials",13027988
"MCTNC","METALICITY LIMITED","2005-12-21","Materials",13027988
"MCX","MARINER CORPORATION LIMITED","1986-06-20","Diversified Financials","N/A"
"MCY","MERCURY NZ LIMITED","2013-05-10","Utilities",7337593307
"MDC","MEDLAB CLINICAL LIMITED","2015-07-14","Pharmaceuticals, Biotechnology & Life Sciences",26005351
"MDI","MIDDLE ISLAND RESOURCES LIMITED","2010-12-16","Materials",16526460
